Model_Name,Parameters_Dict,Accuracy,Macro_Precision,Micro_Precision,Macro_Recall,Micro_Recall,Macro_F1,Micro_F1,Prediction_Time,Test_Accuracy,Test_Macro_Precision,Test_Micro_Precision,Test_Macro_F1,Test_Micro_F1,Test_Macro_Recall,Test_Micro_Recall
logistic_reg,"{'clf__max_iter': 1000, 'clf__penalty': 'l2'}",0.839+-0.006,0.842+-0.006,0.839+-0.006,0.839+-0.006,0.839+-0.006,0.840+-0.006,0.839+-0.006,0.03051,0.8316315205327414,0.8358638794376102,0.8316315205327414,0.8331068441671773,0.8316315205327414,0.831771172659899,0.8316315205327414
svc,"{'clf__C': 200, 'clf__kernel': 'rbf'}",0.991+-0.001,0.991+-0.001,0.991+-0.001,0.991+-0.001,0.991+-0.001,0.991+-0.001,0.991+-0.001,4.177809,0.9910099889012208,0.9909842971091156,0.9910099889012208,0.9910174628537146,0.9910099889012208,0.9910696741655226,0.9910099889012208
knn,"{'clf__leaf_size': 3, 'clf__n_neighbors': 3, 'clf__weights': 'uniform'}",0.984+-0.001,0.984+-0.001,0.984+-0.001,0.984+-0.001,0.984+-0.001,0.984+-0.001,0.984+-0.001,20.074598,0.9850166481687015,0.9850294508584195,0.9850166481687015,0.985018846709978,0.9850166481687015,0.985154555437285,0.9850166481687015
tree,"{'clf__max_depth': 70, 'clf__min_samples_split': 5}",0.963+-0.002,0.963+-0.002,0.963+-0.002,0.963+-0.002,0.963+-0.002,0.963+-0.002,0.963+-0.002,0.022266,0.9650388457269701,0.9651272323916915,0.9650388457269701,0.9651038661462844,0.9650388457269701,0.9650855969531525,0.9650388457269701
rfc,"{'clf__max_depth': 50, 'clf__max_features': 'log2', 'clf__min_samples_split': 4, 'clf__n_estimators': 300}",0.983+-0.001,0.983+-0.001,0.983+-0.001,0.983+-0.001,0.983+-0.001,0.983+-0.001,0.983+-0.001,2.053893,0.983906770255272,0.983909674168193,0.983906770255272,0.9839183748115546,0.983906770255272,0.9840634275562117,0.983906770255272
xg_boost,"{'clf__learning_rate': 0.5, 'clf__max_depth': 5, 'clf__n_estimators': 250}",0.988+-0.001,0.988+-0.001,0.988+-0.001,0.988+-0.001,0.988+-0.001,0.988+-0.001,0.988+-0.001,0.264851,0.9891231964483906,0.9891088012577827,0.9891231964483906,0.9891355763712042,0.9891231964483906,0.9892362441325174,0.9891231964483906
lgbm,"{'clf__boosting_type': 'goss', 'clf__min_child_samples': 5, 'clf__n_estimators': 300}",0.989+-0.001,0.989+-0.001,0.989+-0.001,0.989+-0.001,0.989+-0.001,0.989+-0.001,0.989+-0.001,1.203244,0.9899001109877913,0.9898776211218693,0.9899001109877913,0.9899069158281742,0.9899001109877913,0.9900057076673311,0.9899001109877913
